PLANO,MES,ANO,1.00.00.00.00.00.00.00,2.01.00.00.00.00.00.00,2.02.00.00.00.00.00.00,2.03.00.00.00.00.00.00,2.03.01.00.00.00.00.00,2.03.01.01.00.00.00.00,2.03.01.01.01.00.00.00,2.03.01.01.01.01.00.00,2.03.01.01.01.02.00.00,2.03.01.01.02.00.00.00,2.03.01.01.02.01.00.00,2.03.01.01.02.02.00.00,2.03.01.01.02.03.00.00,2.03.01.01.03.00.00.00,2.03.02.01.00.00.00.00,3.01.00.00.00.00.00.00,3.02.00.00.00.00.00.00,3.05.00.00.00.00.00.00,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,COMPETENCIA
ConabPrev Consolidado,5,2022,1151480758.37,9194133.4,34000.0,1142252624.97,1079507610.52,1079507610.52,301560076.36,301560076.36,0.0,777947534.16,777947534.16,0.0,0.0,0.0,49483404.97,47672032.36,48027921.08,40240479.98,1.0458388662458469,1.0,1.0,0.9925899620054927,2.5797431263125574,1.8304459231863135,2.9765744684450142e-05,1.0,0.0,0.0,0.0,301560076.36,777947534.16,0.0,0.0,2022-05-01
ConabPrev Consolidado,5,2023,1232716709.48,4491636.18,0.0,1228225073.3,1161386815.18,1161386815.18,301927425.2,301927425.2,0.0,859459389.98,859459389.98,0.0,0.0,0.0,53084245.23,41914060.52,16124440.57,37463281.27,1.0457076355062398,1.0,1.0,2.599411764894489,2.846576091624286,4.922796635666474,0.0,1.0,0.0,0.0,0.0,301927425.2,859459389.98,0.0,0.0,2023-05-01
ConabPrev Consolidado,6,2021,1081447148.12,6929346.42,11000.0,1074506801.7,1017634347.69,1017634347.69,264880852.3,264880852.3,0.0,752753495.39,752753495.39,0.0,0.0,0.0,44603019.75,50037421.61,30514808.54,27401932.46,1.0438301044488598,1.0,1.0,1.6397750470696546,2.8418569664576694,2.5377630657092105,1.0237254880654702e-05,1.0,0.0,0.0,0.0,264880852.3,752753495.39,0.0,0.0,2021-06-01
ConabPrev Consolidado,6,2022,1145159529.33,5434605.73,34000.0,1139690923.6,1077105658.01,1077105658.01,303411482.09,303411482.09,0.0,773694175.92,773694175.92,0.0,0.0,0.0,49284924.67,55388833.72,49944464.32,31839789.05,1.0457568153165737,1.0,1.0,1.1090084651847958,2.5499831799064925,1.7465123303979406,2.9832649621006424e-05,1.0,0.0,0.0,0.0,303411482.09,773694175.92,0.0,0.0,2022-06-01
ConabPrev Consolidado,6,2023,1261468755.23,4773823.27,0.0,1256694931.96,1188897839.08,1188897839.08,303742031.61,303742031.61,0.0,885155807.47,885155807.47,0.0,0.0,0.0,53955078.29,57119208.89,19081754.63,53597303.92,1.0453824344838172,1.0,1.0,2.9933939513192453,2.9141696418443863,5.802218661586469,0.0,1.0,0.0,0.0,0.0,303742031.61,885155807.47,0.0,0.0,2023-06-01
ConabPrev Consolidado,7,2021,1078965769.99,6054439.08,0.0,1072911330.91,1016042767.33,1016042767.33,261558717.24,261558717.24,0.0,754484050.09,754484050.09,0.0,0.0,0.0,44544616.8,57599271.14,33922185.55,21586476.63,1.0438412813242657,1.0,1.0,1.6979823147037767,2.884568551380773,2.3343350814847486,0.0,1.0,0.0,0.0,0.0,261558717.24,754484050.09,0.0,0.0,2021-07-01
ConabPrev Consolidado,7,2022,1155677926.0,6260790.72,34000.0,1149383135.28,1086288718.52,1086288718.52,304911462.74,304911462.74,0.0,781377255.78,781377255.78,0.0,0.0,0.0,49745034.3,63187870.75,54215299.14,37954756.98,1.0457935661596252,1.0,1.0,1.1654988859663056,2.562636539664255,1.8655735435272558,2.9581084806605674e-05,1.0,0.0,0.0,0.0,304911462.74,781377255.78,0.0,0.0,2022-07-01
ConabPrev Consolidado,8,2021,1080857820.33,6038180.29,0.0,1074819640.04,1017908158.51,1017908158.51,259148895.94,259148895.94,0.0,758759262.57,758759262.57,0.0,0.0,0.0,44635149.29,66900764.98,37190714.24,17509435.15,1.0438498787113921,1.0,1.0,1.798856686329668,2.9278892345567753,2.2696579470155394,0.0,1.0,0.0,0.0,0.0,259148895.94,758759262.57,0.0,0.0,2021-08-01
ConabPrev Consolidado,8,2022,1164394912.8,5587670.22,34000.0,1158773242.58,1095106554.6,1095106554.6,309287840.36,309287840.36,0.0,785818714.24,785818714.24,0.0,0.0,0.0,50168120.17,66262510.85,57355054.08,47260793.77,1.0458111769665415,1.0,1.0,1.1553037812077678,2.540735883199724,1.979307777509117,2.934137478381815e-05,1.0,0.0,0.0,0.0,309287840.36,785818714.24,0.0,0.0,2022-08-01
ConabPrev Consolidado,9,2021,1084808644.91,6377460.83,0.0,1078431184.08,1021274174.24,1021274174.24,257086949.52,257086949.52,0.0,764187224.72,764187224.72,0.0,0.0,0.0,44801331.17,75693208.2,40625058.96,15683534.26,1.0438680741176478,1.0,1.0,1.8632147284888518,2.972485480678008,2.249270396135814,0.0,1.0,0.0,0.0,0.0,257086949.52,764187224.72,0.0,0.0,2021-09-01
